px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.4485	0.251546	-0.000718942	2.30664e-17	-2.08167e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000277332
8.47171	0.251403	-0.00547273	3.99098e-06	4.03699e-07	8.56759	0.241943	8.45	0.25	0	0	0.129088
8.46448	0.252691	-0.00836533	-0.000254889	-3.47923e-05	8.45582	0.253997	8.45	0.25	0	0	0.00981249
8.37673	0.252709	-0.885276	0.00120243	0.000324939	8.42544	0.254042	8.35	0.25	-1.81979	0	20.0823
8.31296	0.250641	-0.906121	0.0484699	0.0116129	8.23962	0.24916	8.25	0.25	-1.81978	0	0.357973
8.11093	0.252992	-1.66741	-0.0943992	-0.0368699	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	58.4117
7.99473	0.168082	-1.70732	0.67075	0.207288	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	2.35358
7.84174	0.229844	-1.94535	-0.131481	-0.893053	7.61269	0.155818	7.7	0.15	-2.99982	0	19.5378
7.69681	0.178229	-2.04954	0.0745287	-0.700058	7.54016	0.159641	7.55	0.15	-2.99982	0	3.1855
7.58675	0.170438	-2.02885	0.0429894	-0.683424	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.310548
7.44779	0.0631284	-2.08554	0.34239	0.232195	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	4.85961
7.29664	0.0481221	-2.21336	0.201582	-0.427263	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	6.2479
7.1572	-0.0353391	-2.26472	0.368115	0.161748	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.14762
7.04736	-0.0949221	-2.23561	0.449543	0.415615	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	2.43411
6.93092	-0.231105	-2.29881	0.706099	1.0652	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	3.69036
6.81739	-0.291831	-2.33388	0.676815	0.821134	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	1.71626
6.72096	-0.42708	-2.40589	0.861637	1.16601	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	4.09435
6.66828	-0.535929	-2.38707	0.994844	1.35493	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	1.74373
6.60012	-0.644887	-2.40285	1.07336	1.3781	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.169262
6.55542	-0.773497	-2.39965	1.19729	1.48368	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.42279
6.50639	-0.973164	-2.53264	1.39495	1.70252	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	13.7926
6.39873	-1.08517	-2.55549	1.31094	1.3629	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	16.4742
6.34694	-1.23421	-2.59066	1.38516	1.36552	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.958393
6.42604	-1.39398	-2.57068	1.62467	1.64459	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	17.4252
6.40865	-1.583	-2.67882	1.72776	1.67341	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	10.1524
6.34001	-1.70685	-2.67957	1.66889	1.44578	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	19.7077
6.31	-1.8814	-2.77102	1.71968	1.42669	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	8.89562
6.35458	-2.01897	-2.77594	1.82088	1.4732	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	1.39613
6.35706	-2.18338	-2.83606	1.86983	1.44837	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	5.29774
6.34518	-2.33336	-2.82274	1.86767	1.32809	6.32593	-2.40018	6.35	-2.4	0	-2.72613	9.88162
6.35782	-2.50714	-2.86509	1.90934	1.29464	6.34927	-2.55175	6.35	-2.55	0	-2.72611	3.58344
6.40578	-2.65465	-2.8627	1.96883	1.27767	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.317132
6.44394	-2.81506	-2.884	2.01461	1.25093	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	1.39651
6.46379	-2.94843	-2.86303	2.02194	1.16971	6.46536	-3.00452	6.45	-3	0	-2.99754	7.93167
6.48008	-3.10492	-2.88913	2.03516	1.11848	6.44119	-3.14955	6.45	-3.15	0	-2.99754	3.83827
6.54327	-3.24647	-2.88441	2.08361	1.10021	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.489404
6.57488	-3.41283	-2.90444	2.09578	1.0429	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	3.85321
6.66291	-3.54824	-2.90869	2.15912	1.05275	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0.317911
6.71762	-3.70917	-2.92645	2.17302	0.995125	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	3.845
6.79523	-3.84268	-2.91378	2.20761	0.964469	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.55769
6.84388	-4.00718	-2.92769	2.20206	0.885992	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	5.0162
6.9219	-4.13872	-2.91316	2.23001	0.855798	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.73422
6.97176	-4.29986	-2.92035	2.21816	0.776478	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	4.18641
7.03746	-4.43267	-2.89068	2.2241	0.721247	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	12.6041
7.12602	-4.55554	-2.8846	2.26154	0.722123	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.398896
7.20965	-4.67939	-2.86822	2.28334	0.697088	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	3.30966
7.26429	-4.82854	-2.86536	2.26816	0.625819	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	3.21841
7.37119	-4.94729	-2.87192	2.30722	0.63342	7.31379	-5.05204	7.25	-5	1.81907	-2.72861	1.05407
7.41835	-5.10689	-2.8706	2.27007	0.534174	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	5.6985
7.50377	-5.22929	-2.85731	2.28647	0.517536	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.9333
7.5463	-5.39757	-2.85846	2.23462	0.404419	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	7.29196
7.63748	-5.52182	-2.85242	2.25018	0.394688	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.62731
7.71582	-5.65492	-2.8494	2.25062	0.366405	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.631946
7.79846	-5.7779	-2.83609	2.25911	0.351251	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.8812
7.85667	-5.92489	-2.83274	2.23231	0.288041	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.70907
7.96124	-6.03358	-2.8531	2.26352	0.313842	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	7.75801
8.0074	-6.18773	-2.8606	2.21026	0.213493	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	6.43208
8.09802	-6.31466	-2.85592	2.21666	0.204894	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.826428
8.18393	-6.44599	-2.85577	2.21709	0.18975	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.151935
8.26537	-6.57218	-2.84557	2.21878	0.178392	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.12348
8.32816	-6.72048	-2.84675	2.18912	0.122859	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.92291
8.41241	-6.84794	-2.8429	2.19272	0.11948	8.25647	-6.78122	8.35	-6.85	1.81994	-1.81993	0.341389
8.50079	-6.96804	-2.83615	2.20595	0.131225	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.327645
